ID,Treatment,Block,Plot,Quadrat,X,Y,Shrub,Compass,Distance,Year,Age,Size,Fert
C.II.5.2.69.86,C,II,5,2,69,86,NA,NA,NA,1997,NA,NA,NA
C.II.5.2.80.62,C,II,5,2,80,62,NA,NA,NA,1997,999,2,2
C.II.5.3.5.92,C,II,5,3,5,92,NA,NA,NA,1997,1,5,0
C.II.5.3.75.98,C,II,5,3,75,98,NA,NA,NA,1997,NA,NA,NA
C.II.5.3.84.66,C,II,5,3,84,66,At,260,1,1997,1,6,0
C.II.5.4.15.53,C,II,5,4,15,53,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.16.56,C,II,5,4,16,56,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.22.54,C,II,5,4,22,54,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.26.43,C,II,5,4,26,43,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.29.58,C,II,5,4,29,58,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.32.99,C,II,5,4,32,99,NA,NA,NA,1997,999,14,0
C.II.5.4.34.57,C,II,5,4,34,57,At,236,-10,1997,NA,NA,NA
C.II.5.4.40.35,C,II,5,4,40,35,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.42.34,C,II,5,4,42,34,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.42.53,C,II,5,4,42,53,At,236,-5,1997,NA,NA,NA
C.II.5.4.46.27,C,II,5,4,46,27,NA,NA,NA,1997,999,17,3
C.II.5.4.50.32,C,II,5,4,50,32,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.50.40,C,II,5,4,50,40,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.53.26,C,II,5,4,53,26,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.53.32,C,II,5,4,53,32,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.55.4,C,II,5,4,55,4,NA,NA,NA,1997,1,3,0
C.II.5.4.62.40,C,II,5,4,62,40,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.82.9,C,II,5,4,82,9,NA,NA,NA,1997,1,3,0
C.II.5.4.82.30,C,II,5,4,82,30,NA,NA,NA,1997,1,4,0
C.II.5.4.91.27,C,II,5,4,91,27,NA,NA,NA,1997,NA,NA,NA
C.II.5.4.95.91,C,II,5,4,95,91,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.6.36,C,II,5,5,6,36,NA,NA,NA,1997,999,9,2
C.II.5.5.16.50,C,II,5,5,16,50,NA,NA,NA,1997,1,2,0
C.II.5.5.20.42,C,II,5,5,20,42,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.25.45,C,II,5,5,25,45,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.27.38,C,II,5,5,27,38,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.34.33,C,II,5,5,34,33,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.50.70,C,II,5,5,50,70,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.50.70,C,II,5,5,50,70,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.61.40,C,II,5,5,61,40,NA,NA,NA,1997,999,10,4
C.II.5.5.83.74,C,II,5,5,83,74,NA,NA,NA,1997,1,6,0
C.II.5.5.85.48,C,II,5,5,85,48,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.85.48,C,II,5,5,85,48,NA,NA,NA,1997,NA,NA,NA
C.II.5.5.85.54,C,II,5,5,85,54,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.0.35,C,II,5,6,0,35,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.5.94,C,II,5,6,5,94,NA,NA,NA,1997,999,8,0
C.II.5.6.12.88,C,II,5,6,12,88,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.26.30,C,II,5,6,26,30,NA,NA,NA,1997,999,8,4
C.II.5.6.33.79,C,II,5,6,33,79,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.33.79,C,II,5,6,33,79,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.37.25,C,II,5,6,37,25,NA,NA,NA,1997,1,4,0
C.II.5.6.41.75,C,II,5,6,41,75,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.43.65,C,II,5,6,43,65,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.45.72,C,II,5,6,45,72,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.46.83,C,II,5,6,46,83,NA,NA,NA,1997,1,4,0
C.II.5.6.47.75,C,II,5,6,47,75,NA,NA,NA,1997,999,7,2
C.II.5.6.50.75,C,II,5,6,50,75,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.50.76,C,II,5,6,50,76,NA,NA,NA,1997,NA,NA,NA
C.II.5.6.52.83,C,II,5,6,52,83,At,302,5,1997,NA,NA,NA
C.II.5.6.58.54,C,II,5,6,58,54,NA,NA,NA,1997,1,2,0
C.II.5.6.100.13,C,II,5,6,100,13,NA,NA,NA,1997,1,6,0
C.II.5.7.1.12,C,II,5,7,1,12,NA,NA,NA,1997,999,7,2
C.II.5.7.15.69,C,II,5,7,15,69,NA,NA,NA,1997,NA,NA,NA
C.II.5.7.24.35,C,II,5,7,24,35,At,230,2,1997,999,4,2
C.II.5.7.27.62,C,II,5,7,27,62,NA,NA,NA,1997,999,4,2
C.II.5.7.30.0,C,II,5,7,30,0,At,150,2,1997,1,4,0
C.II.5.7.44.77,C,II,5,7,44,77,NA,NA,NA,1997,1,5,0
C.II.5.7.85.51,C,II,5,7,85,51,NA,NA,NA,1997,NA,NA,NA
C.II.5.8.50.26,C,II,5,8,50,26,NA,NA,NA,1997,NA,NA,NA
C.II.5.8.50.26,C,II,5,8,50,26,NA,NA,NA,1997,NA,NA,NA
C.II.5.8.72.12,C,II,5,8,72,12,NA,NA,NA,1997,1,1,0
C.II.5.8.75.73,C,II,5,8,75,73,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.12.23,C,II,5,9,12,23,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.16.23,C,II,5,9,16,23,NA,NA,NA,1997,1,1,0
C.II.5.9.25.17,C,II,5,9,25,17,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.31.28,C,II,5,9,31,28,NA,NA,NA,1997,999,10,2
C.II.5.9.35.12,C,II,5,9,35,12,NA,NA,NA,1997,1,2,0
C.II.5.9.36.33,C,II,5,9,36,33,NA,NA,NA,1997,1,3,0
C.II.5.9.50.47,C,II,5,9,50,47,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.50.80,C,II,5,9,50,80,NA,NA,NA,1997,999,10,7
C.II.5.9.62.28,C,II,5,9,62,28,NA,NA,NA,1997,999,10,6
